Player	MP	G	MPG	PPG	RPG	APG	P + R + A	3P	FGM	FGATT	FG_PCT	3PA	FG3_PCT	FTM	FTATT	FT_PCT	SPG	BPG	TPG	FPG	BPM
Domantas Sabonis	371	10	37.1	21.0	13.6	9.9	44.5	0.3	8.8	14.4	0.61	1.0	0.3	3.1	4.5	0.69	1.1	0.7	2.9	3.1	-1.8
De'Aaron Fox	327	9	36.33	28.44	5.11	6.11	39.66	2.78	10.33	23.22	0.44	7.78	0.36	5.0	6.44	0.78	2.0	0.11	2.67	2.89	-2.0
Harrison Barnes	303	10	30.3	14.9	2.6	1.1	18.6	2.3	5.2	9.5	0.55	5.7	0.4	2.2	2.4	0.92	0.7	0.1	0.9	1.1	-0.3
Keegan Murray	291	9	32.33	10.22	5.22	2.0	17.44	1.22	4.22	11.11	0.38	5.11	0.24	0.56	0.67	0.83	0.78	0.89	0.89	2.56	0.33
Malik Monk	274	10	27.4	17.2	3.2	3.6	24.0	2.4	6.1	14.0	0.44	6.1	0.39	2.6	3.3	0.79	0.5	0.6	2.6	2.1	-2.2
Kevin Huerter	208	8	26.0	11.75	4.62	2.38	18.75	2.25	4.62	9.0	0.51	5.25	0.43	0.25	0.25	1.0	0.62	0.5	0.88	1.62	-0.88
Trey Lyles	137	7	19.57	5.43	4.86	0.43	10.72	1.0	1.86	5.14	0.36	3.71	0.27	0.71	1.14	0.62	0.43	0.14	0.57	1.29	2.43
Davion Mitchell	121	9	13.44	5.56	0.78	1.44	7.78	1.33	2.11	3.78	0.56	2.22	0.6	0.0	0.22	0.0	0.44	0.0	0.67	1.11	-1.56
Chris Duarte	93	7	13.29	4.0	3.0	0.86	7.86	0.86	1.14	3.29	0.35	2.14	0.4	0.86	1.0	0.86	0.71	0.0	0.71	1.43	-0.57
Keon Ellis	49	6	8.17	1.33	1.5	0.17	3.0	0.33	0.5	1.67	0.3	1.17	0.29	0.0	0.0	0.0	0.0	0.17	0.5	1.5	0.5
Malik Beasley	45	1	45.0	23.0	4.0	5.0	32.0	5.0	7.0	12.0	0.58	9.0	0.56	4.0	4.0	1.0	1.0	0.0	1.0	5.0	-1.0
Sasha Vezenkov	44	4	11.0	3.75	3.0	0.25	7.0	0.25	1.75	5.0	0.35	2.0	0.12	0.0	0.0	0.0	0.0	0.25	0.75	1.0	-2.75
Kessler Edwards	42	6	7.0	2.83	0.83	0.33	3.99	0.5	1.17	2.67	0.44	1.33	0.38	0.0	0.0	0.0	0.17	0.0	0.0	1.0	-1.5
Damian Lillard	41	1	41.0	29.0	4.0	8.0	41.0	5.0	9.0	23.0	0.39	13.0	0.38	6.0	6.0	1.0	0.0	0.0	4.0	0.0	-6.0
Brook Lopez	40	1	40.0	17.0	9.0	3.0	29.0	3.0	7.0	15.0	0.47	6.0	0.5	0.0	0.0	0.0	0.0	3.0	0.0	2.0	5.0
Tyrese Maxey	40	1	40.0	21.0	3.0	4.0	28.0	3.0	6.0	17.0	0.35	6.0	0.5	6.0	6.0	1.0	3.0	2.0	3.0	3.0	17.0
Giannis Antetokounmpo	40	1	40.0	27.0	10.0	10.0	47.0	0.0	9.0	16.0	0.56	2.0	0.0	9.0	14.0	0.64	3.0	0.0	4.0	4.0	-13.0
Grayson Allen	39	1	39.0	19.0	4.0	4.0	27.0	2.0	7.0	10.0	0.7	5.0	0.4	3.0	3.0	1.0	0.0	1.0	2.0	3.0	3.0
Anthony Edwards	39	1	39.0	35.0	7.0	5.0	47.0	2.0	8.0	21.0	0.38	9.0	0.22	17.0	18.0	0.94	2.0	2.0	4.0	2.0	5.0
Terance Mann	39	1	39.0	14.0	6.0	4.0	24.0	1.0	6.0	7.0	0.86	2.0	0.5	1.0	1.0	1.0	0.0	0.0	2.0	1.0	-18.0
Kevin Durant	38	1	38.0	28.0	11.0	4.0	43.0	2.0	11.0	17.0	0.65	5.0	0.4	4.0	6.0	0.67	1.0	0.0	3.0	2.0	8.0
Devin Booker	38	1	38.0	25.0	3.0	9.0	37.0	0.0	7.0	17.0	0.41	2.0	0.0	11.0	13.0	0.85	3.0	0.0	3.0	3.0	5.0
Shai Gilgeous-Alexander	38	1	38.0	38.0	3.0	7.0	48.0	3.0	15.0	26.0	0.58	4.0	0.75	5.0	9.0	0.56	1.0	2.0	1.0	0.0	16.0
Nikola Jokić	38	1	38.0	15.0	5.0	8.0	28.0	0.0	6.0	17.0	0.35	6.0	0.0	3.0	4.0	0.75	0.0	1.0	0.0	4.0	-4.0
Karl-Anthony Towns	38	1	38.0	27.0	11.0	4.0	42.0	4.0	9.0	15.0	0.6	5.0	0.8	5.0	5.0	1.0	0.0	0.0	4.0	3.0	-8.0
Norman Powell	37	1	37.0	21.0	2.0	2.0	25.0	5.0	8.0	17.0	0.47	9.0	0.56	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-16.0
Michael Porter Jr.	37	1	37.0	19.0	4.0	2.0	25.0	3.0	8.0	17.0	0.47	7.0	0.43	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-12.0
JaVale McGee	37	5	7.4	3.6	5.2	0.4	9.2	0.0	1.4	3.6	0.39	0.4	0.0	0.8	0.8	1.0	0.2	0.6	0.4	0.6	4.2
Alex Len	36	6	6.0	1.33	2.67	0.67	4.67	0.0	0.67	1.17	0.57	0.17	0.0	0.0	0.0	0.0	0.33	0.17	0.33	1.33	-1.83
Jalen Williams	36	1	36.0	32.0	8.0	9.0	49.0	2.0	13.0	20.0	0.65	4.0	0.5	4.0	4.0	1.0	0.0	0.0	2.0	3.0	26.0
Tobias Harris	36	1	36.0	37.0	7.0	3.0	47.0	3.0	14.0	25.0	0.56	7.0	0.43	6.0	6.0	1.0	3.0	0.0	3.0	0.0	19.0
James Harden	35	1	35.0	20.0	5.0	8.0	33.0	2.0	4.0	13.0	0.31	10.0	0.2	10.0	10.0	1.0	0.0	0.0	3.0	3.0	-25.0
Justin Holiday	35	1	35.0	8.0	4.0	2.0	14.0	2.0	2.0	8.0	0.25	5.0	0.4	2.0	2.0	1.0	1.0	0.0	1.0	3.0	1.0
Kawhi Leonard	35	1	35.0	20.0	8.0	3.0	31.0	0.0	7.0	18.0	0.39	3.0	0.0	6.0	7.0	0.86	4.0	1.0	3.0	0.0	-12.0
Rudy Gobert	35	1	35.0	12.0	11.0	0.0	23.0	0.0	5.0	8.0	0.62	0.0	0.0	2.0	2.0	1.0	0.0	2.0	3.0	5.0	4.0
Aaron Gordon	33	1	33.0	25.0	15.0	2.0	42.0	1.0	8.0	15.0	0.53	2.0	0.5	8.0	8.0	1.0	0.0	0.0	4.0	0.0	1.0
Ivica Zubac	33	1	33.0	16.0	6.0	2.0	24.0	0.0	8.0	9.0	0.89	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	3.0	-6.0
Pat Connaughton	33	1	33.0	5.0	3.0	2.0	10.0	1.0	1.0	3.0	0.33	3.0	0.33	2.0	2.0	1.0	0.0	0.0	0.0	3.0	5.0
Kyrie Irving	33	1	33.0	23.0	2.0	1.0	26.0	2.0	8.0	17.0	0.47	6.0	0.33	5.0	5.0	1.0	0.0	0.0	1.0	2.0	-19.0
Luguentz Dort	32	1	32.0	17.0	9.0	0.0	26.0	3.0	5.0	9.0	0.56	5.0	0.6	4.0	4.0	1.0	3.0	1.0	2.0	3.0	31.0
Donovan Mitchell	32	1	32.0	29.0	2.0	5.0	36.0	5.0	11.0	20.0	0.55	11.0	0.45	2.0	2.0	1.0	2.0	0.0	0.0	1.0	28.0
Stephen Curry	32	1	32.0	21.0	5.0	3.0	29.0	4.0	7.0	15.0	0.47	10.0	0.4	3.0	3.0	1.0	0.0	0.0	7.0	3.0	-6.0
